sku,name,selling_price,standard_cost,unit_of_measure,category,opening_quantity
SL-035,Shani Can,4.700,4.400,Ctn,Beverages,0
SL-036,Shami Tango,3.300,3.050,Ctn,Beverages,0
SL-037,Double Up 200ml,3.000,2.650,Ctn,Beverages,0
SL-038,Marlin Fish Tuna,7.400,6.400,Ctn,Canned Food,0
SL-039,Bervican,4.200,4.000,Ctn,Beverages,0
SL-040,Pepsi 1ltr,4.200,4.000,Ctn,Beverages,0
SL-041,Pepsi 2 Ltr,4.300,4.000,Ctn,Beverages,0
SL-042,Dew 1ltr,4.200,4.000,Ctn,Beverages,0
SL-043,Dew 2 Ltr,4.300,4.000,Ctn,Beverages,0
SL-044,Pepsi CAN,4.700,4.450,Ctn,Beverages,0
SL-045,Dew CAN,4.700,4.450,Ctn,Beverages,0
SL-046,7up CAN,4.700,4.400,Ctn,Beverages,0
SL-047,7 UP 1 Ltr,4.200,4.000,Ctn,Beverages,0
SL-048,7 UP 2 Ltr,4.300,4.000,Ctn,Beverages,0
SL-049,Mirinda CAN,4.700,4.450,Ctn,Beverages,0
SL-050,Dew NRB,4.800,4.500,Ctn,Beverages,0
SL-051,Pepsi NRB,4.800,4.500,Ctn,Beverages,0
SL-052,7up NRB,4.800,4.500,Ctn,Beverages,0
SL-053,Mirinda NRB,4.800,4.500,Ctn,Beverages,0
SL-054,Vitamin C,6.800,6.200,Ctn,Health,0
SL-055,Extra Gum,5.200,4.900,Ctn,Confectionery,0
SL-056,Pusti Puffed Rice 500gm,3.600,2.370,Ctn,Snacks,0
SL-057,Pusti Salty Cookies Mini,1.800,1.170,Ctn,Biscuits,0
SL-058,Pusti Butter Cookies Mini,1.800,1.117,Ctn,Biscuits,0
SL-059,Pusti Elachi Cookies Mini,1.800,1.117,Ctn,Biscuits,0
SL-060,Pusti Jeera Cookies Mini,1.800,1.117,Ctn,Biscuits,0
SL-061,Pusti Noodles Chicken,3.700,2.440,Ctn,Noodles,0
SL-062,Pusti Noodles Vegetables,3.700,2.440,Ctn,Noodles,0
SL-063,Pusti Noodles Masala,3.700,2.440,Ctn,Noodles,0
SL-064,Pusti Dry Cake Family 300gm,5.500,4.660,Ctn,Bakery,0
SL-065,Pusti Dry Cake Mini,6.800,4.447,Ctn,Bakery,0
SL-066,Tang Instant Drink,25.000,22.381,Ctn,Beverages,0
SL-067,Sugar 1 KG,2.900,2.270,Ctn,Sugar,0
SL-068,Sugar 2 KG,3.200,2.677,Ctn,Sugar,0
SL-069,Sugar 5 KG,4.300,3.288,Ctn,Sugar,0
SL-070,Sugar 50 KG,11.800,9.800,bag,Sugar,0
SL-071,Pusti Ghal Chanachur 50gm,7.500,7.200,Ctn,Snacks,0
SL-072,Pusti Ghal Chanachur 250gm,7.500,7.200,Ctn,Snacks,0
SL-073,Pusti BBQ Chanachur 250gm,7.500,7.200,Ctn,Snacks,0
SL-074,Pusti Laccha Semai 160gm,7.600,7.300,Ctn,Food,0
SL-075,Pusti Sweet Toast 250gm,4.700,4.500,Ctn,Bakery,0
SL-076,Pusti Ghee Toast 250gm,4.700,4.500,Ctn,Bakery,0
SL-077,Pusti Testy Saline 20gm,9.500,8.500,Ctn,Snacks,0
SL-078,Pusti Mango Drinks 250ml,6.200,5.800,Ctn,Juice,0
SL-079,Pusti Mango Drinks 1000ml,6.200,5.800,Ctn,Juice,0
SL-080,Pusti Mustard Oil 80ml,4.000,3.900,Ctn,Oil,0
SL-081,Pusti Mustard Oil 200ml,7.600,7.500,Ctn,Oil,0
SL-082,Pusti Mustard Oil 400ml,7.600,7.500,Ctn,Oil,0
SL-083,Pusti Mustard Oil 1000ml,14.200,14.000,Ctn,Oil,0
SL-084,Gram Flour 15 KG,4.800,3.900,bag,Flour,0
